Molecule;State;TCC;x1;y1;z1;x2;y2;z2;NICS(0);NICS_zz(0);NICS(1);NICS_zz(1)
Pentacene;0;1;10.4685;-15.2052;0.0016;10.4685;-15.2052;1.0016;7.464;4.746;9.489;22.215
1H-Benzo[ghi]cyclopenta[pqr]-perylene;0;1;2.3232;-17.7728;-0.013;2.3232;-17.7728;-1.013;6.036;-1.495;8.734;18.719
1H-Benzo[ghi]cyclopenta[pqr]-perylene;0;1;4.7301;-18.1797;-0.0138;4.7301;-18.1797;-1.0138;-0.566;-23.253;3.861;2.71
1H-Benzo[ghi]cyclopenta[pqr]-perylene;0;1;7.1362;-18.4114;-0.0126;7.1362;-18.4114;-1.0126;11.675;15.37;13.155;32.292
1H-Benzo[ghi]cyclopenta[pqr]-perylene;0;1;3.9349;-15.8975;-0.013;3.9349;-15.8975;-1.013;11.541;15.066;13.138;32.206
1H-Benzo[ghi]cyclopenta[pqr]-perylene;0;1;6.0668;-16.4778;-0.0131;6.0668;-16.4778;-1.0131;-2.545;-35.51;1.598;-3.574
1H-Benzo[ghi]cyclopenta[pqr]-perylene;0;1;3.2312;-20.0878;-0.014;3.2312;-20.0878;-1.014;11.922;16.046;13.52;33.147
1H-Benzo[ghi]cyclopenta[pqr]-perylene;0;1;5.6963;-20.4213;-0.0139;5.6963;-20.4213;-1.0139;6.01;-1.598;8.688;18.576
9H-Indeno[1 2-e]pyrene;0;1;1.402;-21.8162;-0.0887;1.402;-21.8162;-1.0887;8.793;8.543;10.189;24.513
9H-Indeno[1 2-e]pyrene;0;1;3.44;-22.6847;-0.0859;3.44;-22.6847;-1.0859;-1.647;-33.56;1.784;-3.11
9H-Indeno[1 2-e]pyrene;0;1;5.6239;-22.2129;-0.0883;5.6239;-22.2129;-1.0883;4.426;-7.431;7.322;13.679
9H-Indeno[1 2-e]pyrene;0;1;8.0423;-21.7353;-0.0909;8.0423;-21.7353;-1.0909;5.419;-3.328;8.154;16.837
9H-Indeno[1 2-e]pyrene;0;1;6.4293;-19.8807;-0.0954;6.4293;-19.8807;-1.0954;12.503;18.516;13.752;34.26
9H-Indeno[1 2-e]pyrene;0;1;7.2593;-24.0626;-0.0833;7.2593;-24.0626;-1.0833;12.102;17.221;13.502;33.489
7H-Indeno[1 2-a]pyrene;0;1;1.352;-26.7863;0.0264;1.352;-26.7863;1.0264;8.672;8.245;10.141;24.34
7H-Indeno[1 2-a]pyrene;0;1;3.4114;-27.6053;0.0216;3.4114;-27.6053;1.0216;-1.251;-31.583;2.136;-1.978
7H-Indeno[1 2-a]pyrene;0;1;5.5717;-27.0862;0.0234;5.5717;-27.0862;1.0234;11.821;15.047;13.162;31.714
7H-Indeno[1 2-a]pyrene;0;1;7.9759;-26.5757;0.0269;7.9759;-26.5757;1.0269;5.042;-4.488;7.831;15.875
7H-Indeno[1 2-a]pyrene;0;1;6.3298;-24.7388;0.0287;6.3298;-24.7388;1.0287;5.364;-3.598;8.044;16.55
7H-Indeno[1 2-a]pyrene;0;1;8.7401;-24.2412;0.0323;8.7401;-24.2412;1.0323;12.461;18.687;13.806;34.618
11H-Indeno[2 1-a]pyrene;0;1;9.3084;1.472;-0.0115;9.3084;1.472;-1.0115;8.471;7.736;10.091;24.295
11H-Indeno[2 1-a]pyrene;0;1;11.3258;2.3795;-0.0118;11.3258;2.3795;-1.0118;-1.893;-33.716;1.753;-3.126
11H-Indeno[2 1-a]pyrene;0;1;13.4874;1.8848;-0.0132;13.4874;1.8848;-1.0132;11.909;15.211;13.345;32.281
11H-Indeno[2 1-a]pyrene;0;1;15.8775;1.3282;-0.0152;15.8775;1.3282;-1.0152;5.179;-4.033;7.96;16.265
11H-Indeno[2 1-a]pyrene;0;1;15.1637;3.6909;-0.0138;15.1637;3.6909;-1.0138;4.787;-5.474;7.655;15.278
11H-Indeno[2 1-a]pyrene;0;1;17.5559;3.1256;-0.0161;17.5559;3.1256;-1.0161;12.406;18.493;13.774;34.467
8H-Benzo[g]cyclopenta[mno]-chrysene;0;1;10.5347;-4.5705;0.062;10.5347;-4.5705;1.062;10.228;12.8;10.892;25.108
8H-Benzo[g]cyclopenta[mno]-chrysene;0;1;12.8552;-3.8379;0.3031;12.8552;-3.8379;1.3031;8.393;5.003;9.917;22.721
8H-Benzo[g]cyclopenta[mno]-chrysene;0;1;14.9544;-3.2102;0.2984;14.9544;-3.2102;1.2984;-2.707;-35.87;1.126;-4.324
8H-Benzo[g]cyclopenta[mno]-chrysene;0;1;13.6159;-1.4962;0.1958;13.6159;-1.4962;1.1958;4.071;-8.584;7.366;13.166
8H-Benzo[g]cyclopenta[mno]-chrysene;0;1;16.0588;-1.333;0.0817;16.0588;-1.333;1.0817;9.833;10.547;11.409;26.869
8H-Benzo[g]cyclopenta[mno]-chrysene;0;1;12.1493;0.4669;0.3119;12.1493;0.4669;1.3119;9.608;10.913;11.965;28.596
4H-Benzo[b]cyclopenta[jkl]triphenylene;0;1;9.4324;-6.7841;-0.0001;9.4324;-6.7841;-1.0001;9.542;10.941;11.233;27.386
4H-Benzo[b]cyclopenta[jkl]triphenylene;0;1;11.8823;-6.5742;-0.0014;11.8823;-6.5742;-1.0014;10.449;11.329;12.119;28.901
4H-Benzo[b]cyclopenta[jkl]triphenylene;0;1;14.3345;-6.3681;-0.0002;14.3345;-6.3681;-1.0002;1.087;-17.989;4.632;5.327
4H-Benzo[b]cyclopenta[jkl]triphenylene;0;1;16.5048;-6.1878;0.0025;16.5048;-6.1878;1.0025;-1.758;-33.215;2.07;-2.231
4H-Benzo[b]cyclopenta[jkl]triphenylene;0;1;15.5297;-4.2252;0.0019;15.5297;-4.2252;1.0019;9.277;8.735;10.928;26.079
4H-Benzo[b]cyclopenta[jkl]triphenylene;0;1;15.8684;-8.2842;-0.0006;15.8684;-8.2842;-1.0006;9.235;8.736;10.942;26.072
13 -Benzo[b]cyclopenta[def]-triphenylene;0;1;9.7774;-11.3204;-0.1341;9.7774;-11.3204;-1.1341;9.707;11.092;11.244;27.305
13 -Benzo[b]cyclopenta[def]-triphenylene;0;1;12.2216;-11.5016;-0.1332;12.2216;-11.5016;-1.1332;10.589;10.967;12.252;28.969
13 -Benzo[b]cyclopenta[def]-triphenylene;0;1;14.6755;-11.5554;-0.1338;14.6755;-11.5554;-1.1338;0.711;-19.039;4.392;4.641
13 -Benzo[b]cyclopenta[def]-triphenylene;0;1;13.5061;-9.7182;-0.132;13.5061;-9.7182;-1.132;-2.246;-35.532;1.633;-3.741
13 -Benzo[b]cyclopenta[def]-triphenylene;0;1;15.6565;-9.3065;-0.1361;15.6565;-9.3065;-1.1361;9.2;8.605;10.884;25.921
13 -Benzo[b]cyclopenta[def]-triphenylene;0;1;16.0041;-13.6272;-0.1335;16.0041;-13.6272;-1.1335;8.977;8.82;10.71;25.755
4H-Indeno[7 1 2-ghi]chrysene;0;1;10.5134;-14.2177;-0.0564;10.5134;-14.2177;-1.0564;9.904;12.015;10.602;23.644
4H-Indeno[7 1 2-ghi]chrysene;0;1;11.8126;-16.2762;0.261;11.8126;-16.2762;1.261;7.85;4.588;9.854;22.845
4H-Indeno[7 1 2-ghi]chrysene;0;1;14.2777;-16.3149;0.1283;14.2777;-16.3149;1.1283;3.804;-9.269;7.339;13.196
4H-Indeno[7 1 2-ghi]chrysene;0;1;16.4528;-16.3862;-0.0012;16.4528;-16.3862;-1.0012;-2.78;-36.044;1.821;-4.446
4H-Indeno[7 1 2-ghi]chrysene;0;1;15.7216;-14.345;0.2678;15.7216;-14.345;1.2678;10.068;11.418;12.563;29.944
4H-Indeno[7 1 2-ghi]chrysene;0;1;15.5778;-18.389;-0.0004;15.5778;-18.389;-1.0004;9.961;10.894;11.653;27.681
13H-Dibenz[bc l]aceanthrylene;0;1;9.7464;-19.185;0.086;9.7464;-19.185;1.086;10.46;13.178;11.883;29.147
13H-Dibenz[bc l]aceanthrylene;0;1;11.0583;-21.276;0.0792;11.0583;-21.276;1.0792;6.076;-1.363;8.354;17.513
13H-Dibenz[bc l]aceanthrylene;0;1;13.52;-21.3452;0.0854;13.52;-21.3452;1.0854;11.734;14.372;13.15;31.673
13H-Dibenz[bc l]aceanthrylene;0;1;15.9637;-21.3498;0.0854;15.9637;-21.3498;1.0854;5.421;-2.282;8.149;16.961
13H-Dibenz[bc l]aceanthrylene;0;1;14.7695;-19.5368;0.0867;14.7695;-19.5368;1.0867;-2.409;-35.472;1.439;-4.262
13H-Dibenz[bc l]aceanthrylene;0;1;16.9234;-19.1125;0.0821;16.9234;-19.1125;1.0821;10.386;12.403;11.921;29.108
4H-Benzo[c]cyclopenta[mno]-chrysene;0;1;9.9631;-24.3645;0.0106;9.9631;-24.3645;1.0106;10.32;13.062;10.882;24.883
4H-Benzo[c]cyclopenta[mno]-chrysene;0;1;11.5375;-26.2375;0.2419;11.5375;-26.2375;1.2419;7.613;3.928;9.53;21.828
4H-Benzo[c]cyclopenta[mno]-chrysene;0;1;13.9796;-25.9873;0.0972;13.9796;-25.9873;1.0972;9.133;7.174;11.478;25.812
4H-Benzo[c]cyclopenta[mno]-chrysene;0;1;16.1645;-25.7772;-0.0093;16.1645;-25.7772;-1.0093;-2.451;-34.605;1.854;-4.361
4H-Benzo[c]cyclopenta[mno]-chrysene;0;1;15.1804;-23.8649;0.2574;15.1804;-23.8649;1.2574;7.417;2.7;10.75;24.049
4H-Benzo[c]cyclopenta[mno]-chrysene;0;1;17.6001;-24.1265;0.1276;17.6001;-24.1265;1.1276;10.304;12.25;12.235;29.393
13H-Cyclopenta[rst]pentaphene;0;1;0.7226;3.8458;0.1464;0.7226;3.8458;1.1464;9.804;11.41;11.318;27.569
13H-Cyclopenta[rst]pentaphene;0;1;-0.1228;1.5469;0.1471;-0.1228;1.5469;1.1471;11.189;13.048;12.685;30.396
13H-Cyclopenta[rst]pentaphene;0;1;-1.077;-0.701;0.1492;-1.077;-0.701;1.1492;2.461;-12.206;5.631;9.244
13H-Cyclopenta[rst]pentaphene;0;1;-2.2791;1.1048;0.1455;-2.2791;1.1048;1.1455;-3.175;-38.854;0.937;-5.934
13H-Cyclopenta[rst]pentaphene;0;1;-3.5193;-0.7134;0.1479;-3.5193;-0.7134;1.1479;11.161;13.039;12.7;30.389
13H-Cyclopenta[rst]pentaphene;0;1;-5.9661;-0.6064;0.1471;-5.9661;-0.6064;1.1471;9.808;11.482;11.338;27.613
13H-Indeno[2 1 7-qra]naphthacene;0;1;-5.8622;-3.6635;0.1808;-5.8622;-3.6635;1.1808;8.929;9.023;10.667;25.65
13H-Indeno[2 1 7-qra]naphthacene;0;1;-3.4109;-3.8245;0.1801;-3.4109;-3.8245;1.1801;12.862;18.636;14.006;32.626
13H-Indeno[2 1 7-qra]naphthacene;0;1;-0.9683;-4.043;0.181;-0.9683;-4.043;1.181;11.148;12.883;12.731;30.442
13H-Indeno[2 1 7-qra]naphthacene;0;1;1.4694;-4.1403;0.1838;1.4694;-4.1403;1.1838;3.523;-8.921;6.521;12.045
13H-Indeno[2 1 7-qra]naphthacene;0;1;0.353;-2.2791;0.1774;0.353;-2.2791;1.1774;-2.749;-36.755;1.357;-4.576
13H-Indeno[2 1 7-qra]naphthacene;0;1;2.5186;-1.9372;0.1819;2.5186;-1.9372;1.1819;10.071;11.577;11.603;28.236
13H-Dibenz[bc j]aceanthrylene;0;1;-5.2406;-10.3845;-0.0675;-5.2406;-10.3845;-1.0675;10.094;12.327;11.66;28.585
13H-Dibenz[bc j]aceanthrylene;0;1;-4.5368;-8.0188;-0.0665;-4.5368;-8.0188;-1.0665;5.901;-1.919;8.353;17.495
13H-Dibenz[bc j]aceanthrylene;0;1;-2.1512;-7.4066;-0.0665;-2.1512;-7.4066;-1.0665;11.528;13.836;13.115;31.487
13H-Dibenz[bc j]aceanthrylene;0;1;0.1721;-6.6588;-0.0665;0.1721;-6.6588;-1.0665;5.583;-2.754;8.287;17.302
13H-Dibenz[bc j]aceanthrylene;0;1;-1.5162;-5.2994;-0.0648;-1.5162;-5.2994;-1.0648;-2.892;-37.038;1.295;-4.754
13H-Dibenz[bc j]aceanthrylene;0;1;0.3982;-4.232;-0.0645;0.3982;-4.232;-1.0645;10.504;12.795;11.956;29.297
5H-Benzo[b]cyclopenta[def]-chrysene;0;1;-5.5928;-12.8471;0.0184;-5.5928;-12.8471;1.0184;10.393;13.245;11.887;29.302
5H-Benzo[b]cyclopenta[def]-chrysene;0;1;-3.1913;-12.3746;0.0206;-3.1913;-12.3746;1.0206;8.569;5.22;10.558;23.861
5H-Benzo[b]cyclopenta[def]-chrysene;0;1;-1.0451;-11.9155;0.0213;-1.0451;-11.9155;1.0213;-3.521;-39.147;0.782;-6.429
5H-Benzo[b]cyclopenta[def]-chrysene;0;1;-2.2535;-10.1116;0.0196;-2.2535;-10.1116;1.0196;6.084;-1.784;8.621;18.214
5H-Benzo[b]cyclopenta[def]-chrysene;0;1;0.1839;-10.089;0.0199;0.1839;-10.089;1.0199;12.221;16.159;13.539;32.96
5H-Benzo[b]cyclopenta[def]-chrysene;0;1;2.6302;-10.1908;0.0205;2.6302;-10.1908;1.0205;9.67;11.071;11.242;27.35
